# ---------------------------------- WARNING ----------------------------------------,,,,
# Some of the data that you have obtained from this U.S. Geological Survey database,,,,
# may not have received Director's approval. Any such data values are qualified,,,,
# as provisional and are subject to revision. Provisional data are released on the,,,,
# condition that neither the USGS nor the United States Government may be held liable,,,,
# for any damages resulting from its use.,,,,
#,,,,
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement,,,,
#,,,,
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output,,,,
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals,,,,
#,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,
# retrieved: 2021-01-25 22:37:36 EST       (caww02),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
#    USGS 10338000 TRUCKEE R NR TRUCKEE CA,,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 10338000,,,,
#            TS   parameter     statistic     Description,,,,
"#          7600       00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output:,,,,
#        ,,,,
#     A  Approved for publication -- Processing and review completed.,,,,
#     P  Provisional data subject to revision.,,,,
#     e  Value has been estimated.,,,,
# ,,,,
agency_cd,site_no,datetime,discharge_cfs,note
USGS,10338000,5/25/11,545,A
USGS,10338000,5/26/11,471,A
USGS,10338000,5/27/11,427,A
USGS,10338000,5/28/11,403,A
USGS,10338000,5/29/11,373,A
USGS,10338000,5/30/11,345,A
USGS,10338000,5/31/11,354,A
USGS,10338000,6/1/11,368,A
USGS,10338000,6/2/11,340,A
USGS,10338000,6/3/11,323,A
USGS,10338000,6/4/11,328,A
USGS,10338000,6/5/11,422,A
USGS,10338000,6/6/11,621,A
USGS,10338000,6/7/11,552,A
USGS,10338000,6/8/11,614,A
USGS,10338000,6/9/11,691,A
USGS,10338000,6/10/11,774,A
USGS,10338000,6/11/11,808,A
USGS,10338000,6/12/11,786,A
USGS,10338000,6/13/11,868,A
USGS,10338000,6/14/11,927,A
USGS,10338000,6/15/11,951,A
USGS,10338000,6/16/11,892,A
USGS,10338000,6/17/11,801,A
USGS,10338000,6/18/11,777,A
USGS,10338000,6/19/11,812,A
USGS,10338000,6/20/11,770,A
USGS,10338000,6/21/11,844,A
USGS,10338000,6/22/11,919,A
USGS,10338000,6/23/11,898,A
USGS,10338000,6/24/11,768,A
USGS,10338000,6/25/11,668,A
USGS,10338000,6/26/11,605,A
USGS,10338000,6/27/11,632,A
USGS,10338000,6/28/11,670,A
USGS,10338000,6/29/11,818,A
USGS,10338000,6/30/11,595,A
USGS,10338000,7/1/11,575,A
USGS,10338000,7/2/11,588,A
USGS,10338000,7/3/11,582,A
USGS,10338000,7/4/11,567,A
USGS,10338000,7/5/11,552,A
USGS,10338000,7/6/11,566,A
USGS,10338000,7/7/11,552,A
USGS,10338000,7/8/11,485,A
USGS,10338000,7/9/11,440,A
USGS,10338000,7/10/11,390,A
USGS,10338000,7/11/11,351,A
USGS,10338000,7/12/11,331,A
USGS,10338000,7/13/11,316,A
USGS,10338000,7/14/11,307,A
USGS,10338000,7/15/11,294,A
USGS,10338000,7/16/11,279,A
USGS,10338000,7/17/11,269,A
USGS,10338000,7/18/11,268,A
USGS,10338000,7/19/11,265,A
USGS,10338000,7/20/11,245,A
USGS,10338000,7/21/11,229,A
USGS,10338000,7/22/11,217,A
USGS,10338000,7/23/11,211,A
USGS,10338000,7/24/11,217,A
USGS,10338000,7/25/11,203,A
USGS,10338000,7/26/11,188,A
USGS,10338000,7/27/11,171,A
USGS,10338000,7/28/11,161,A
USGS,10338000,7/29/11,165,A
USGS,10338000,7/30/11,166,A
USGS,10338000,7/31/11,163,A
USGS,10338000,8/1/11,156,A
USGS,10338000,8/2/11,142,A
USGS,10338000,8/3/11,141,A
USGS,10338000,8/4/11,165,A
USGS,10338000,8/5/11,200,A
USGS,10338000,8/6/11,236,A
USGS,10338000,8/7/11,263,A
USGS,10338000,8/8/11,268,A
USGS,10338000,8/9/11,270,A
USGS,10338000,8/10/11,272,A
USGS,10338000,8/11/11,280,A
USGS,10338000,8/12/11,289,A
USGS,10338000,8/13/11,284,A
USGS,10338000,8/14/11,282,A
USGS,10338000,8/15/11,281,A
USGS,10338000,8/16/11,278,A
USGS,10338000,8/17/11,277,A
USGS,10338000,8/18/11,274,A
USGS,10338000,8/19/11,273,A
USGS,10338000,8/20/11,272,A
USGS,10338000,8/21/11,271,A
USGS,10338000,8/22/11,270,A:e
USGS,10338000,8/23/11,269,A:e
USGS,10338000,8/24/11,269,A
USGS,10338000,8/25/11,268,A
USGS,10338000,8/26/11,267,A
USGS,10338000,8/27/11,266,A
USGS,10338000,8/28/11,265,A
USGS,10338000,8/29/11,263,A
USGS,10338000,8/30/11,262,A
USGS,10338000,8/31/11,260,A
USGS,10338000,9/1/11,260,A
USGS,10338000,9/2/11,259,A
USGS,10338000,9/3/11,258,A
USGS,10338000,9/4/11,257,A
USGS,10338000,9/5/11,255,A
USGS,10338000,9/6/11,247,A
USGS,10338000,9/7/11,229,A
USGS,10338000,9/8/11,214,A
USGS,10338000,9/9/11,212,A
USGS,10338000,9/10/11,211,A
USGS,10338000,9/11/11,213,A
USGS,10338000,9/12/11,197,A
USGS,10338000,9/13/11,146,A
USGS,10338000,9/14/11,113,A
USGS,10338000,9/15/11,93.4,A
USGS,10338000,9/16/11,90.2,A
USGS,10338000,9/17/11,86.5,A
USGS,10338000,9/18/11,85.4,A
USGS,10338000,9/19/11,85.3,A
USGS,10338000,9/20/11,85.3,A
USGS,10338000,9/21/11,85,A
USGS,10338000,9/22/11,83.7,A
USGS,10338000,9/23/11,83.6,A
USGS,10338000,9/24/11,82.6,A
USGS,10338000,9/25/11,82.4,A
USGS,10338000,9/26/11,82.4,A
USGS,10338000,9/27/11,81.3,A
USGS,10338000,9/28/11,79.1,A
USGS,10338000,9/29/11,79.1,A
USGS,10338000,9/30/11,73.3,A
USGS,10338000,10/1/11,61.8,A
USGS,10338000,10/2/11,61.8,A
USGS,10338000,10/3/11,61.8,A
USGS,10338000,10/4/11,62.4,A
USGS,10338000,10/5/11,87.5,A
USGS,10338000,10/6/11,72.2,A
USGS,10338000,10/7/11,68.2,A
USGS,10338000,10/8/11,68.5,A
USGS,10338000,10/9/11,69,A
USGS,10338000,10/10/11,83.8,A
USGS,10338000,10/11/11,116,A
USGS,10338000,10/12/11,83.9,A
USGS,10338000,10/13/11,78.8,A
USGS,10338000,10/14/11,75.9,A
USGS,10338000,10/15/11,72.9,A
USGS,10338000,10/16/11,71.5,A
USGS,10338000,10/17/11,70.2,A
USGS,10338000,10/18/11,70,A
USGS,10338000,10/19/11,68.7,A
USGS,10338000,10/20/11,67.1,A
USGS,10338000,10/21/11,66,A
USGS,10338000,10/22/11,66,A
USGS,10338000,10/23/11,64.7,A
USGS,10338000,10/24/11,64.6,A
USGS,10338000,10/25/11,64.6,A
USGS,10338000,10/26/11,64.6,A
USGS,10338000,10/27/11,64.6,A
USGS,10338000,10/28/11,64.6,A
USGS,10338000,10/29/11,64.6,A
USGS,10338000,10/30/11,64.6,A
USGS,10338000,10/31/11,64.6,A
USGS,10338000,11/1/11,63.2,A
USGS,10338000,11/2/11,63.2,A
USGS,10338000,11/3/11,63.7,A
USGS,10338000,11/4/11,65,A
USGS,10338000,11/5/11,63.7,A
USGS,10338000,11/6/11,64.5,A
USGS,10338000,11/7/11,63.3,A
USGS,10338000,11/8/11,63.4,A
USGS,10338000,11/9/11,63.2,A
USGS,10338000,11/10/11,63.2,A
USGS,10338000,11/11/11,63.6,A
USGS,10338000,11/12/11,65.8,A
USGS,10338000,11/13/11,64.4,A
USGS,10338000,11/14/11,63.2,A
USGS,10338000,11/15/11,63.2,A
USGS,10338000,11/16/11,63.2,A
USGS,10338000,11/17/11,63,A
USGS,10338000,11/18/11,64.2,A
USGS,10338000,11/19/11,63.5,A
USGS,10338000,11/20/11,65.1,A
USGS,10338000,11/21/11,62.8,A
USGS,10338000,11/22/11,63.1,A
USGS,10338000,11/23/11,63,A
USGS,10338000,11/24/11,62.8,A
USGS,10338000,11/25/11,62.5,A
USGS,10338000,11/26/11,62,A
USGS,10338000,11/27/11,62,A
USGS,10338000,11/28/11,63.2,A
USGS,10338000,11/29/11,63.2,A
USGS,10338000,11/30/11,62.7,A
USGS,10338000,12/1/11,63.2,A
USGS,10338000,12/2/11,66.6,A
USGS,10338000,12/3/11,67.9,A
USGS,10338000,12/4/11,68.9,A
USGS,10338000,12/5/11,68.7,A
USGS,10338000,12/6/11,68.8,A
USGS,10338000,12/7/11,68.1,A
USGS,10338000,12/8/11,97.5,A
USGS,10338000,12/9/11,94.3,A
USGS,10338000,12/10/11,88.1,A
USGS,10338000,12/11/11,86.9,A
